2021-06-16 08:01:42,666 - [http-nio-8080-exec-3] INFO       | com.oc.ly.PayMyBuddy.controller.HomeController               | -> Verification de l'identifiant ! (MyUserDetailService.java:35)
2021-06-16 08:01:42,687 - [http-nio-8080-exec-3] INFO       | com.oc.ly.PayMyBuddy.controller.HomeController               | ---> Utilisateur trouvé!  (MyUserDetailService.java:40)
2021-06-16 08:01:42,763 - [http-nio-8080-exec-4] INFO       | com.oc.ly.PayMyBuddy.controller.HomeController               | ---> On entre bien dans /home  (HomeController.java:100)
2021-06-16 08:01:42,802 - [http-nio-8080-exec-4] INFO       | com.oc.ly.PayMyBuddy.controller.HomeController               | ---> On passe bien les requete 2 (HomeController.java:104)
2021-06-16 08:30:01,990 - [http-nio-8080-exec-7] INFO       | com.oc.ly.PayMyBuddy.controller.HomeController               | ---> valeur de errorMessage avant le if: null (TransactionController.java:65)
2021-06-16 08:30:01,991 - [http-nio-8080-exec-7] INFO       | com.oc.ly.PayMyBuddy.controller.HomeController               | ---> valeur de errorMessage: null (TransactionController.java:69)
2021-06-16 08:30:03,121 - [http-nio-8080-exec-9] INFO       | com.oc.ly.PayMyBuddy.controller.HomeController               | ---> valeur de errorMessage avant le if: null (TransactionController.java:65)
2021-06-16 08:30:03,121 - [http-nio-8080-exec-9] INFO       | com.oc.ly.PayMyBuddy.controller.HomeController               | ---> valeur de errorMessage: null (TransactionController.java:69)
2021-06-16 08:30:03,475 - [http-nio-8080-exec-1] INFO       | com.oc.ly.PayMyBuddy.controller.HomeController               | ---> valeur de errorMessage avant le if: null (TransactionController.java:65)
2021-06-16 08:30:03,476 - [http-nio-8080-exec-1] INFO       | com.oc.ly.PayMyBuddy.controller.HomeController               | ---> valeur de errorMessage: null (TransactionController.java:69)
2021-06-16 08:30:03,801 - [http-nio-8080-exec-3] INFO       | com.oc.ly.PayMyBuddy.controller.HomeController               | ---> valeur de errorMessage avant le if: null (TransactionController.java:65)
2021-06-16 08:30:03,801 - [http-nio-8080-exec-3] INFO       | com.oc.ly.PayMyBuddy.controller.HomeController               | ---> valeur de errorMessage: null (TransactionController.java:69)
2021-06-16 08:30:04,143 - [http-nio-8080-exec-5] INFO       | com.oc.ly.PayMyBuddy.controller.HomeController               | ---> valeur de errorMessage avant le if: null (TransactionController.java:65)
2021-06-16 08:30:04,143 - [http-nio-8080-exec-5] INFO       | com.oc.ly.PayMyBuddy.controller.HomeController               | ---> valeur de errorMessage: null (TransactionController.java:69)
2021-06-16 08:30:04,761 - [http-nio-8080-exec-7] INFO       | com.oc.ly.PayMyBuddy.controller.HomeController               | ---> valeur de errorMessage avant le if: null (TransactionController.java:65)
2021-06-16 08:30:04,762 - [http-nio-8080-exec-7] INFO       | com.oc.ly.PayMyBuddy.controller.HomeController               | ---> valeur de errorMessage: null (TransactionController.java:69)
