2021-07-14 07:44:32,801 - [main] INFO       | org.hibernate.jpa.internal.util.LogHelper                    | HHH000204: Processing PersistenceUnitInfo [name: default] (LogHelper.java:31)
2021-07-14 07:44:32,883 - [main] INFO       | org.hibernate.Version                                        | HHH000412: Hibernate ORM core version 5.4.31.Final (Version.java:44)
2021-07-14 07:44:33,110 - [main] INFO       | org.hibernate.annotations.common.Version                     | HCANN000001: Hibernate Commons Annotations {5.1.2.Final} (JavaReflectionManager.java:56)
2021-07-14 07:44:33,236 - [main] INFO       | org.hibernate.dialect.Dialect                                | HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect (Dialect.java:175)
2021-07-14 07:44:33,927 - [main] INFO       | org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator | HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform] (JtaPlatformInitiator.java:52)
2021-07-14 07:44:43,049 - [http-nio-8080-exec-1] INFO       | com.oc.ly.PayMyBuddy.controller.HomeController               | --> Launch /login  (HomeController.java:85)
2021-07-14 07:44:43,448 - [http-nio-8080-exec-3] INFO       | com.oc.ly.PayMyBuddy.controller.HomeController               | --> Launch /login  (HomeController.java:85)
2021-07-14 07:44:53,809 - [http-nio-8080-exec-5] INFO       | com.oc.ly.PayMyBuddy.controller.JoinController               | --> Launch /join  (JoinController.java:29)
2021-07-14 07:44:53,843 - [http-nio-8080-exec-8] INFO       | com.oc.ly.PayMyBuddy.controller.HomeController               | --> Launch /login  (HomeController.java:85)
2021-07-14 07:46:26,210 - [http-nio-8080-exec-1] INFO       | com.oc.ly.PayMyBuddy.controller.JoinController               | --> Launch POST /join  (JoinController.java:43)
2021-07-14 07:46:26,211 - [http-nio-8080-exec-1] INFO       | com.oc.ly.PayMyBuddy.service.UserServiceImpl                 |  ---> Launch saveNewUser (UserServiceImpl.java:105)
2021-07-14 07:46:26,212 - [http-nio-8080-exec-1] ERROR      | com.oc.ly.PayMyBuddy.exceptions.DataNotFoundException        |   **--> Names must be only alphanumeric (DataNotConformException.java:17)
2021-07-14 07:46:26,221 - [http-nio-8080-exec-2] INFO       | com.oc.ly.PayMyBuddy.controller.JoinController               | --> Launch /join  (JoinController.java:29)
2021-07-14 07:46:26,253 - [http-nio-8080-exec-5] INFO       | com.oc.ly.PayMyBuddy.controller.HomeController               | --> Launch /login  (HomeController.java:85)
2021-07-14 07:46:40,083 - [http-nio-8080-exec-6] INFO       | com.oc.ly.PayMyBuddy.controller.JoinController               | --> Launch POST /join  (JoinController.java:43)
2021-07-14 07:46:40,083 - [http-nio-8080-exec-6] INFO       | com.oc.ly.PayMyBuddy.service.UserServiceImpl                 |  ---> Launch saveNewUser (UserServiceImpl.java:105)
2021-07-14 07:46:40,084 - [http-nio-8080-exec-6] ERROR      | com.oc.ly.PayMyBuddy.exceptions.DataNotFoundException        |   **--> it is not a email! (DataNotConformException.java:17)
2021-07-14 07:46:40,088 - [http-nio-8080-exec-7] INFO       | com.oc.ly.PayMyBuddy.controller.JoinController               | --> Launch /join  (JoinController.java:29)
2021-07-14 07:46:40,115 - [http-nio-8080-exec-10] INFO       | com.oc.ly.PayMyBuddy.controller.HomeController               | --> Launch /login  (HomeController.java:85)
2021-07-14 07:46:50,197 - [http-nio-8080-exec-1] INFO       | com.oc.ly.PayMyBuddy.controller.JoinController               | --> Launch POST /join  (JoinController.java:43)
2021-07-14 07:46:50,198 - [http-nio-8080-exec-1] INFO       | com.oc.ly.PayMyBuddy.service.UserServiceImpl                 |  ---> Launch saveNewUser (UserServiceImpl.java:105)
2021-07-14 07:46:50,233 - [http-nio-8080-exec-1] ERROR      | com.oc.ly.PayMyBuddy.exceptions.DataNotFoundException        |   **--> This email already exist ! (DataAlreadyExistException.java:17)
2021-07-14 07:46:50,237 - [http-nio-8080-exec-2] INFO       | com.oc.ly.PayMyBuddy.controller.JoinController               | --> Launch /join  (JoinController.java:29)
2021-07-14 07:46:50,263 - [http-nio-8080-exec-5] INFO       | com.oc.ly.PayMyBuddy.controller.HomeController               | --> Launch /login  (HomeController.java:85)
2021-07-14 07:47:05,690 - [http-nio-8080-exec-6] INFO       | com.oc.ly.PayMyBuddy.controller.JoinController               | --> Launch POST /join  (JoinController.java:43)
2021-07-14 07:47:05,690 - [http-nio-8080-exec-6] INFO       | com.oc.ly.PayMyBuddy.service.UserServiceImpl                 |  ---> Launch saveNewUser (UserServiceImpl.java:105)
2021-07-14 07:47:05,764 - [http-nio-8080-exec-6] INFO       | com.oc.ly.PayMyBuddy.service.UserServiceImpl                 | $2a$10$KTDk5vkeQgPh/C3ZgHU9rusGy19/CgECtzde3iHR5/EodT5ujg0E6 (UserServiceImpl.java:123)
2021-07-14 07:47:05,803 - [http-nio-8080-exec-7] INFO       | com.oc.ly.PayMyBuddy.controller.HomeController               | --> Launch /login  (HomeController.java:85)
2021-07-14 07:47:05,850 - [http-nio-8080-exec-10] INFO       | com.oc.ly.PayMyBuddy.controller.HomeController               | --> Launch /login  (HomeController.java:85)
2021-07-14 07:47:28,599 - [http-nio-8080-exec-2] INFO       | com.oc.ly.PayMyBuddy.security.MyUserDetailService            | ---> Identifier verification: andre@email.com (MyUserDetailService.java:28)
2021-07-14 07:47:28,616 - [http-nio-8080-exec-2] INFO       | com.oc.ly.PayMyBuddy.security.MyUserDetailService            | ---> User andre@email.com Find  (MyUserDetailService.java:31)
2021-07-14 07:47:28,733 - [http-nio-8080-exec-4] INFO       | com.oc.ly.PayMyBuddy.service.UserServiceImpl                 |  ---> Launch finUserByEmail (UserServiceImpl.java:66)
2021-07-14 07:47:28,735 - [http-nio-8080-exec-4] INFO       | com.oc.ly.PayMyBuddy.service.FriendServiceImpl               |  ---> Launch findFriendByowner (FriendServiceImpl.java:39)
2021-07-14 07:47:28,745 - [http-nio-8080-exec-4] INFO       | com.oc.ly.PayMyBuddy.service.TransactionServiceImpl          |  ---> Launch theLastThreeTransactions  (TransactionServiceImpl.java:118)
2021-07-14 07:47:28,755 - [http-nio-8080-exec-4] INFO       | com.oc.ly.PayMyBuddy.service.TransferServiceImpl             |  ---> Launch theLastThreeTransfers (TransferServiceImpl.java:87)
2021-07-14 07:47:28,757 - [http-nio-8080-exec-4] INFO       | com.oc.ly.PayMyBuddy.service.TransactionServiceImpl          |  ---> Launch theLastThreeTransactionsBeneficiary  (TransactionServiceImpl.java:134)
2021-07-14 07:47:28,760 - [http-nio-8080-exec-4] INFO       | com.oc.ly.PayMyBuddy.controller.HomeController               | --> Launch /home  (HomeController.java:69)
2021-07-14 07:47:37,390 - [http-nio-8080-exec-6] INFO       | com.oc.ly.PayMyBuddy.controller.TransactionController        | --> Launch /transaction (TransactionController.java:58)
2021-07-14 07:47:37,390 - [http-nio-8080-exec-6] INFO       | com.oc.ly.PayMyBuddy.service.UserServiceImpl                 |  ---> Launch finUserByEmail (UserServiceImpl.java:66)
2021-07-14 07:47:37,392 - [http-nio-8080-exec-6] INFO       | com.oc.ly.PayMyBuddy.service.FriendServiceImpl               |  ---> Launch findFriendByowner (FriendServiceImpl.java:39)
2021-07-14 07:47:37,394 - [http-nio-8080-exec-6] INFO       | com.oc.ly.PayMyBuddy.service.TransactionServiceImpl          |  ---> Launch findAllByPayer  (TransactionServiceImpl.java:150)
2021-07-14 07:47:39,437 - [http-nio-8080-exec-8] INFO       | com.oc.ly.PayMyBuddy.controller.ProfileController            | --> Launch /profile  (ProfileController.java:28)
2021-07-14 07:47:39,437 - [http-nio-8080-exec-8] INFO       | com.oc.ly.PayMyBuddy.service.UserServiceImpl                 |  ---> Launch finUserByEmail (UserServiceImpl.java:66)
2021-07-14 07:47:47,376 - [http-nio-8080-exec-10] INFO       | com.oc.ly.PayMyBuddy.controller.ProfileController            | --> Launch /profile  (ProfileController.java:28)
2021-07-14 07:47:47,377 - [http-nio-8080-exec-10] INFO       | com.oc.ly.PayMyBuddy.service.UserServiceImpl                 |  ---> Launch finUserByEmail (UserServiceImpl.java:66)
2021-07-14 07:47:48,781 - [http-nio-8080-exec-2] INFO       | com.oc.ly.PayMyBuddy.controller.ContactController            | ---> Launch Get /contact  (ContactController.java:67)
2021-07-14 07:47:48,781 - [http-nio-8080-exec-2] INFO       | com.oc.ly.PayMyBuddy.service.UserServiceImpl                 |  ---> Launch finUserByEmail (UserServiceImpl.java:66)
2021-07-14 07:47:48,783 - [http-nio-8080-exec-2] INFO       | com.oc.ly.PayMyBuddy.service.FriendServiceImpl               |  ---> Launch findFriendByowner (FriendServiceImpl.java:39)
2021-07-14 07:47:48,784 - [http-nio-8080-exec-2] INFO       | com.oc.ly.PayMyBuddy.service.UserServiceImpl                 |  ---> Launch listUserNotFriend (UserServiceImpl.java:73)
2021-07-14 07:47:53,976 - [http-nio-8080-exec-3] INFO       | com.oc.ly.PayMyBuddy.controller.ContactController            | ---> Launch Get /contact  (ContactController.java:67)
2021-07-14 07:47:53,977 - [http-nio-8080-exec-3] INFO       | com.oc.ly.PayMyBuddy.service.UserServiceImpl                 |  ---> Launch finUserByEmail (UserServiceImpl.java:66)
2021-07-14 07:47:53,979 - [http-nio-8080-exec-3] INFO       | com.oc.ly.PayMyBuddy.service.FriendServiceImpl               |  ---> Launch findFriendByowner (FriendServiceImpl.java:39)
2021-07-14 07:47:53,981 - [http-nio-8080-exec-3] INFO       | com.oc.ly.PayMyBuddy.service.UserServiceImpl                 |  ---> Launch listUserNotFriend (UserServiceImpl.java:73)
2021-07-14 07:47:55,059 - [http-nio-8080-exec-6] INFO       | com.oc.ly.PayMyBuddy.controller.ContactController            | ---> Launch Get /contact  (ContactController.java:67)
2021-07-14 07:47:55,059 - [http-nio-8080-exec-6] INFO       | com.oc.ly.PayMyBuddy.service.UserServiceImpl                 |  ---> Launch finUserByEmail (UserServiceImpl.java:66)
2021-07-14 07:47:55,061 - [http-nio-8080-exec-6] INFO       | com.oc.ly.PayMyBuddy.service.FriendServiceImpl               |  ---> Launch findFriendByowner (FriendServiceImpl.java:39)
2021-07-14 07:47:55,062 - [http-nio-8080-exec-6] INFO       | com.oc.ly.PayMyBuddy.service.UserServiceImpl                 |  ---> Launch listUserNotFriend (UserServiceImpl.java:73)
2021-07-14 07:47:55,815 - [http-nio-8080-exec-8] INFO       | com.oc.ly.PayMyBuddy.controller.ContactController            | ---> Launch Get /contact  (ContactController.java:67)
2021-07-14 07:47:55,815 - [http-nio-8080-exec-8] INFO       | com.oc.ly.PayMyBuddy.service.UserServiceImpl                 |  ---> Launch finUserByEmail (UserServiceImpl.java:66)
2021-07-14 07:47:55,817 - [http-nio-8080-exec-8] INFO       | com.oc.ly.PayMyBuddy.service.FriendServiceImpl               |  ---> Launch findFriendByowner (FriendServiceImpl.java:39)
2021-07-14 07:47:55,818 - [http-nio-8080-exec-8] INFO       | com.oc.ly.PayMyBuddy.service.UserServiceImpl                 |  ---> Launch listUserNotFriend (UserServiceImpl.java:73)
2021-07-14 07:47:57,273 - [http-nio-8080-exec-10] INFO       | com.oc.ly.PayMyBuddy.controller.ContactController            | ---> Launch Get /contact  (ContactController.java:67)
2021-07-14 07:47:57,274 - [http-nio-8080-exec-10] INFO       | com.oc.ly.PayMyBuddy.service.UserServiceImpl                 |  ---> Launch finUserByEmail (UserServiceImpl.java:66)
2021-07-14 07:47:57,276 - [http-nio-8080-exec-10] INFO       | com.oc.ly.PayMyBuddy.service.FriendServiceImpl               |  ---> Launch findFriendByowner (FriendServiceImpl.java:39)
2021-07-14 07:47:57,277 - [http-nio-8080-exec-10] INFO       | com.oc.ly.PayMyBuddy.service.UserServiceImpl                 |  ---> Launch listUserNotFriend (UserServiceImpl.java:73)
2021-07-14 07:48:01,839 - [http-nio-8080-exec-2] INFO       | com.oc.ly.PayMyBuddy.controller.ContactController            | ---> Launch Get /contact  (ContactController.java:67)
2021-07-14 07:48:01,840 - [http-nio-8080-exec-2] INFO       | com.oc.ly.PayMyBuddy.service.UserServiceImpl                 |  ---> Launch finUserByEmail (UserServiceImpl.java:66)
2021-07-14 07:48:01,842 - [http-nio-8080-exec-2] INFO       | com.oc.ly.PayMyBuddy.service.FriendServiceImpl               |  ---> Launch findFriendByowner (FriendServiceImpl.java:39)
2021-07-14 07:48:01,843 - [http-nio-8080-exec-2] INFO       | com.oc.ly.PayMyBuddy.service.UserServiceImpl                 |  ---> Launch listUserNotFriend (UserServiceImpl.java:73)
2021-07-14 07:48:05,366 - [http-nio-8080-exec-3] INFO       | com.oc.ly.PayMyBuddy.controller.ContactController            |  --->  Launch '/'addContact idFriend: 2 (ContactController.java:49)
2021-07-14 07:48:05,366 - [http-nio-8080-exec-3] INFO       | com.oc.ly.PayMyBuddy.service.UserServiceImpl                 |  ---> Launch finUserByEmail (UserServiceImpl.java:66)
2021-07-14 07:48:05,368 - [http-nio-8080-exec-3] INFO       | com.oc.ly.PayMyBuddy.service.UserServiceImpl                 |  ---> Launch findUserById (UserServiceImpl.java:55)
2021-07-14 07:48:05,371 - [http-nio-8080-exec-3] INFO       | com.oc.ly.PayMyBuddy.service.FriendServiceImpl               | ---> Launch addFriend (FriendServiceImpl.java:30)
2021-07-14 07:48:05,382 - [http-nio-8080-exec-3] INFO       | com.oc.ly.PayMyBuddy.service.FriendServiceImpl               | ----> Friend saved id: 61 (FriendServiceImpl.java:33)
2021-07-14 07:48:05,386 - [http-nio-8080-exec-5] INFO       | com.oc.ly.PayMyBuddy.controller.ContactController            | ---> Launch Get /contact  (ContactController.java:67)
2021-07-14 07:48:05,386 - [http-nio-8080-exec-5] INFO       | com.oc.ly.PayMyBuddy.service.UserServiceImpl                 |  ---> Launch finUserByEmail (UserServiceImpl.java:66)
2021-07-14 07:48:05,388 - [http-nio-8080-exec-5] INFO       | com.oc.ly.PayMyBuddy.service.FriendServiceImpl               |  ---> Launch findFriendByowner (FriendServiceImpl.java:39)
